,본부,센터,국사,고객번호,20240320,20240319,20240318,20240317,20240316,20240315,20240314,20240313,20230322,20230321,20230320,20230319,20230318,20230317,20230316,20230315
﻿25,강북/강원,경기북부액세스운용센터,화성송신소,0227067893,274.6,266.6,248.2,286.8,303.6,276.6,262.1,288.2,406.1,348.1,387.8,413.1,384.1,376.5,393.4,415.7
﻿26,강북/강원,강원액세스운용센터,원주,1710012009,14463.0,14538.1,14510.1,13080.5,13313.6,14573.0,14587.7,14581.5,16882.0,16655.2,16618.1,14671.7,14751.6,16321.0,16337.3,16334.1
﻿27,강북/강원,경기북부액세스운용센터,문산,1016076228,0.0,1586.0,1739.0,1490.9,1620.9,1754.1,1556.2,1797.0,2506.6,2414.7,2433.2,2095.3,2144.9,2401.3,2398.4,2389.8
﻿28,강북/강원,강원액세스운용센터,서강릉,0710027307,3150.4,2978.3,2991.3,2277.4,2350.0,2844.8,2925.8,3284.9,4040.5,3925.0,3911.1,3451.9,3412.5,4037.3,4054.7,3991.8
﻿29,강북/강원,경기북부액세스운용센터,동의정부,1016222917,7722.3,7517.5,7521.4,7331.5,7325.3,7633.5,7601.0,7546.2,9619.6,9423.4,9266.9,8701.6,8686.8,9104.1,9135.5,9271.7
﻿30,강북/강원,서울강북액세스운용센터,신내,0135287641,1700.6,1673.7,1465.0,803.8,888.8,1390.8,1551.7,1543.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿31,강북/강원,강원액세스운용센터,화천,1710028582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.1,1281.5,1283.9,1207.7,1211.7,1286.5,1288.8,1281.7
﻿32,강북/강원,경기북부액세스운용센터,동두천,1016071367,2596.3,2640.7,2635.1,2161.5,2528.5,2690.7,2643.3,2694.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
﻿33,강북/강원,서울강북액세스운용센터,강북,0143938498,5666.0,5616.2,5553.8,4129.1,4344.0,5397.1,5475.1,5656.6,6128.3,6107.6,6222.6,4921.8,5142.2,6274.4,6279.1,6093.9
﻿34,강북/강원,강원액세스운용센터,남원주(본동),1710015328,5000.3,4879.3,4879.4,3614.9,3944.6,4785.2,4907.5,4979.3,4516.1,4549.0,4726.1,3343.3,3504.6,4631.6,4773.4,4576.6
